id,taskType,taskTitle,taskContent,isDone,isReminded,isTimeSet,nextReminderTimestamp,reminderOccasions,isRepeating,repeatCycle,repeatInterval,repeatDays,repeatType,repeatDates,whichWeek,dayOfWeek,months,endRepeatTimestamp,hasProgress,progressType,totalProgress,color,priority,subtaskIds,creationTimestamp,updateTimestamp,groupId,isProgressSummaryHidden,manualSorting,isInTrash
1,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,任务内容任务内容任务内容任务内容任务内容任务内容任务内容任务内容,0,0,,,,,,,,,,,,,,0,0,100,0,0,"1,2,3",1596124800,1596144800,1,0,1,0
2,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,,0,0,,,,,,,,,,,,,,0,1,831,3,1,"1,2,3",1596125601,1596145601,2,0,2,0
3,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,任务内容任务内容任务内容任务内容任务内容任务内容任务内容任务内容,0,0,,,,,,,,,,,,,,0,2,862,3,2,,1596126402,1596146402,3,0,3,0
4,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,,0,0,,,,,,,,,,,,,,0,0,417,0,3,,1596127203,1596147203,4,0,4,0
5,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,任务内容任务内容任务内容任务内容任务内容任务内容任务内容任务内容,0,0,,,,,,,,,,,,,,1,1,985,5,0,"1,2,3",1596128004,1596148004,5,0,5,0
6,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,,0,0,,,,,,,,,,,,,,1,2,422,1,1,"1,2,3",1596128805,1596148805,6,0,6,0
7,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,任务内容任务内容任务内容任务内容任务内容任务内容任务内容任务内容,0,0,,,,,,,,,,,,,,1,0,804,1,2,,1596129606,1596149606,7,0,7,0
8,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,,0,0,,,,,,,,,,,,,,1,1,544,1,3,,1596130407,1596150407,8,0,8,0
9,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,任务内容任务内容任务内容任务内容任务内容任务内容任务内容任务内容,0,1,0,1596124800,0,0,1,7,,0,"1,15,32",0,1,1,1996124800,0,2,929,1,0,"1,2,3",1596131208,1596151208,9,1,9,0
10,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,,0,1,0,1596125601,600,0,1,5,,0,"1,15,33",1,2,2,1996125601,0,0,275,0,1,"1,2,3",1596132009,1596152009,1,1,10,0
11,0,任务标题任务标题任务标题任务标题任务标题任务标题任务标题,任务内容任务内容任务内容任务内容任务内容任务内容任务内容任务内容,0,1,0,1596126402,"0,600",1,0,1,,0,"1,15,34",2,3,3,1996126402,0,1,182,2,2,,1596132810,1596152810,2,1,11,0
